Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
904,0,TCP,192.168.136.131,60018,443,0,177,0,16,405,666,3
905,0,TCP,192.168.136.131,60018,443,0,296,0,16,406,666,3
906,0,TCP,34.160.144.191,443,60018,177,0,0,16,407,666,3
907,0,TCP,34.160.144.191,443,60018,296,0,0,16,408,666,3
908,0,TCP,192.168.136.131,60018,443,0,38,0,16,409,666,3
909,0,TCP,34.160.144.191,443,60018,38,0,0,16,410,666,3
910,0,TCP,34.117.237.239,443,55064,0,31,0,15,411,666,3
911,0,TCP,192.168.136.131,36662,80,889,0,0,17,412,666,3
912,0,TCP,34.160.144.191,443,60018,0,38,0,16,415,1239,4
913,0,TCP,192.168.136.131,60018,443,38,0,0,16,440,1240,4
914,0,TCP,192.168.136.131,55064,443,31,0,0,15,441,1240,4
915,0,TCP,34.160.144.191,443,60018,0,345,0,16,445,1252,4
916,0,TCP,34.160.144.191,443,60018,0,1412,0,16,446,1252,4
917,0,TCP,34.160.144.191,443,60018,0,1412,0,16,447,1252,4
918,0,TCP,192.168.136.131,60018,443,345,0,0,16,448,1252,4
919,0,TCP,192.168.136.131,60018,443,1412,0,0,16,449,1252,4
920,0,TCP,192.168.136.131,60018,443,1412,0,0,16,450,1252,4
921,0,TCP,34.160.144.191,443,60018,0,1412,0,16,453,1257,5
922,0,TCP,192.168.136.131,60018,443,1412,0,0,16,465,1257,5
923,0,TCP,34.160.144.191,443,60018,0,1241,0,16,466,1257,5
924,0,TCP,192.168.136.131,60018,443,1241,0,0,16,467,1257,5
925,0,TCP,34.160.144.191,443,60018,0,46,0,16,468,1257,5
926,0,TCP,192.168.136.131,60018,443,46,0,0,16,473,1257,6
927,0,TCP,192.168.136.131,60018,443,0,46,0,16,486,1258,6
928,0,TCP,34.160.144.191,443,60018,46,0,0,16,487,1258,6
951,0,TCP,34.117.237.239,443,55064,0,287,0,15,489,1258,6
952,0,TCP,192.168.136.131,55064,443,287,0,0,15,490,1258,6
953,0,TCP,34.117.237.239,443,55064,0,1109,0,15,493,1258,7
954,0,TCP,192.168.136.131,55064,443,1109,0,0,15,601,1259,7
