Layer,src_ip,,dst_port,sql
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.233,,,0
UDP,162.159.135.233,,,0
